index,orig_index,summary,protagonist,protagonist_type,antagonist,central_topic,valence,moral,moral+,moral-
652,966,"In the ancient Sassanid dynasty, a beloved king left his prosperous kingdom to his two sons, Schahriar and Schahzeman. Schahriar, deeply betrayed by his wife's infidelity, which led to her execution, spiraled into a distrust of all women, decreeing that each night he would marry a new bride only to have her executed the next morning. This brutal practice terrorized the kingdom until Scheherazade, the grand-vizir's intelligent and courageous daughter, volunteered to marry the Sultan with a plan to end the slaughter. Despite her father's horror and the Sultan's astonishment at her willingness to sacrifice herself, Scheherazade's request was granted. On the night of their marriage, she asked to have her sister Dinarzade present. Before dawn, Dinarzade prompted Scheherazade to tell a story, which intrigued the Sultan enough to spare her life for a day to hear the story's end. Scheherazade's clever strategy began her quest to save the kingdom's women and change the Sultan's heart, one story at a time.",scheherazade,hero,schahriar,ending the sultan's brutal practice,2,"Courage, wisdom, and compassion can overcome cruelty and change hearts for the better",Courage and wisdom,Cruelty
653,975,"Raja Rasâlu, upon arriving in Hodinagari, encounters an old Jôgi who has been waiting for twenty-two years to catch a glimpse of the beautiful Queen Sundrân but to no avail. Rasâlu decides to become the Jôgi's disciple, donning the sacred earrings and attire of a Jôgi, and begins his own vigil by the sacred fire. Despite the Jôgi's initial intention for Rasâlu to beg for their sustenance, it is Rasâlu's enchanting voice and striking beauty that eventually draw Queen Sundrân herself out of her palace, after her maidens faint at the sight of him. Sundrân, captivated by Rasâlu's presence, offers him jewels instead of alms, which he refuses, asking for food instead. Upon learning Rasâlu's identity and his quest to see if she lived up to her famed beauty, Sundrân is left longing after he decides to leave, fearing she might try to detain him. When Sundrân learns from the Jôgi of Rasâlu's supposed fate—that the Jôgi had eaten him for not bringing sufficient alms—she throws herself into the sacred fire in an act of sati, driven by her love for Rasâlu. Meanwhile, Rasâlu, unaffected by Sundrân's sacrifice, moves on to seize the throne from Raja Hari Chand, indulging his whim to be king.",raja rasâlu,hero,none,the pursuit of beauty and love,3,The pursuit of superficial desires can lead to tragic outcomes and unfulfilled longing,Patience and humility,Obsession over appearances
654,977,"In a fairy world long ago, King Fire-fly, a mighty fairy king, lived in a palace made from a lotus flower in the middle of a river. His most treasured possession was his beautiful daughter, a princess kept hidden within the palace, whose beauty and fame attracted numerous suitors from the insect kingdom. However, the princess, proud and vain, declared she would only marry a suitor who could bring her a spark of fire, a task she deemed perilous enough to prove a suitor's worthiness and bravery. Many tried, including Prince Gold-beetle, Lord Cockchafer, and others, each meeting tragic fates in their quests to win her hand by attempting to capture fire in various forms, from a lamp's flame to the bioluminescence of sea life. Despite their efforts, all failed, leading to either their deaths or abandonment of the quest. The princess, despite her initial coldness, felt sorrow for Prince Gold-beetle's demise, showing she wasn't entirely heartless. Yet, her obstinacy persisted, and suitor after suitor continued to fail in their quests, leaving the princess waiting in vain for a successful contender. This tale of unattainable standards and tragic pursuits serves as a cautionary fable, illustrating the dangers of vanity and the folly of setting impossible challenges for love, encapsulated in the enduring image of insects fatally drawn to flames, forever remembered as the many suitors of Princess Fire-fly.",princess fire fly,villain,none,unattainable standards,2,Setting unreasonably high standards and being overly proud can lead to loneliness and the loss of potential happiness,Humility and reasonable expectations,Vanity and setting impossible challenges for others
655,978,"In a long-ago winter, the Indian village of Taos was buried under deep snow, leaving its inhabitants unable to make fire and nearly freezing to death. A little brown robin, determined to save the villagers despite a bear's wish for their demise to rule the land, flew to another village to bring back a burning stick. Despite the bear's repeated attempts to extinguish the fire, the robin persevered, fanning the flames with his wings until he succeeded in rekindling a fire too big for the bear to put out. The villagers, seeing the fire, were able to warm their homes, but in the process, the robin sacrificed his life, his breast burned red by the flames. An old woman found and mourned the robin, whose red breast became a mark of his selfless act, remembered by all robins since then.",robin,hero,bear,self-sacrifice for the greater good,4,"Selfless acts and perseverance in the face of adversity can bring warmth and light to others, even at great personal cost",Self-sacrifice for others,Undermining others' well-being
656,979,"The story revolves around the King of the Black Isles, who recounts his tragic transformation into half man, half marble by his enchantress wife, who also turned his flourishing capital into a lake and its inhabitants into fish. The Sultan, moved by the king's tale, vows to avenge him. The Sultan kills the enchantress's beloved slave, disguises himself, and tricks the enchantress into reversing her spells, restoring the king's human form and the city's inhabitants. The enchantress, believing she has fulfilled the Sultan's wishes, is killed by him. The grateful king offers to accompany the Sultan back to his capital, and the Sultan, having no heirs, declares the king his successor. The Sultan rewards everyone involved in the king's deliverance, ensuring their happiness and prosperity.",narrator,"hero, victim",enchantress,enchantment and revenge,2,"Evil deeds eventually lead to downfall, and with perseverance and the help of allies, justice and restoration can be achieved",Seeking justice and aiding others in distress,Enchantment and betrayal
657,981,"In a time when Bootoolgah, the crane, and Goonur, the kangaroo rat, lived without fire, they discovered how to create it by rubbing wood together, sparking a flame with bark and grass. They decided to keep this secret, cooking their food in seclusion. However, their tribe grew suspicious of their differently prepared fish and sent spies, Boolooral the night owl and Quarrian the parrot, to uncover their secret. Upon learning of the fire-making, the tribe planned a grand corrobboree to distract Bootoolgah and Goonur and steal their fire-making tool, the comebee. Despite their vigilance, during the performance, they were so absorbed that they momentarily forgot the comebee, allowing Beeargah the hawk to seize it and reveal the secret of fire to all. Despite Bootoolgah's attempt to stop him, Beeargah spread the fire, making it a common treasure among the tribes, thus ending Bootoolgah and Goonur's exclusive possession of fire-making.",bootoolgah,hero,beeargah,discovery and sharing of fire,3,"Valuable discoveries, even if initially kept secret, are destined to be shared for the greater good of the community",Sharing knowledge,Hoarding knowledge
658,983,"One night in Asgard, Odin, troubled by his responsibilities, decides to embark on a journey for wisdom. Accompanied by his faithful wolves and ravens, he rides his steed Sleipnir to Bifröst, where he leaves Sleipnir with Heimdall, the bridge's guardian, and proceeds on foot into the land of the giants. After facing challenges from frost and mountain giants, Odin reaches a beautiful valley where Mimir, a wise and kind giant, guards a well of wisdom. Odin seeks a drink from the well to gain the wisdom needed to address threats, including those from Loki and the giants. Mimir asks a high price for this wisdom: one of Odin's eyes. Odin agrees, sacrificing his eye for the greater good, and although the story does not detail his suffering, it suggests that Odin never regretted his sacrifice for the wisdom it brought him.",odin,hero,none,quest for wisdom,4,"The pursuit of wisdom is worth any sacrifice, even if it requires giving up a part of oneself",Sacrificing for wisdom,None
659,984,"In a tale of unintended consequences and a quest for justice, a man named Goso, who taught children under a calabash tree, was accidentally killed by a falling calabash dislodged by a gazelle named Paa. The children, determined to avenge their teacher's death, embarked on a chain of blame that led them from the south wind to various elements and creatures, each redirecting blame to another for their role in the tragic event. This sequence included the wind, a mud wall, a rat, a cat, a rope, a knife, fire, water, an ox, a fly, and finally back to the gazelle, Paa. Despite the gazelle's act being unintentional, the children, convinced of its guilt due to its inability to defend itself, executed it in retribution for their teacher's death. This story weaves a complex web of cause and effect, highlighting the dangers of a simplistic approach to justice and the interconnectedness of actions within a community.",goso,victim,paa,chain of blame,2,Seeking retribution without fully understanding the complexity of a situation can lead to unjust outcomes,Seeking understanding before retribution,Rash judgment
660,985,"In a tale from olden times, when the Lord walked the earth, He sought shelter one night and approached two houses: one large and owned by a rich man, the other small and belonging to a poor man. The rich man, judging the Lord's humble appearance, refused Him lodging, while the poor man and his wife warmly welcomed Him into their modest home, offering whatever little they had with great kindness. Touched by their generosity, the Lord blessed them the next morning with three wishes: eternal happiness, health and daily bread for their lifetime, and a new house in place of their old hut. When the rich man saw the miraculous transformation of the poor man's dwelling, he regretted his inhospitality and, after catching up with the Lord, secured three wishes for himself. However, his wishes, made in frustration and without thought, resulted in the death of his horse, his wife being stuck to a saddle, and ultimately, his final wish being used to free her from it, leaving him with nothing but regret. In contrast, the poor couple lived out their days in happiness and contentment, a testament to the virtues of kindness and hospitality.",lord,hero,rich man,hospitality and generosity vs greed and selfishness,4,"Kindness and generosity towards others, regardless of one's own circumstances, are rewarded, while greed and selfishness lead to regret and loss",Generosity,Greed
661,987,"The story of the Lady of Pintorp revolves around a cruel widow who, after inheriting her husband's estate, mistreats her dependents and subjects them to harsh punishments. One day, she orders a farm-hand to perform an impossible task under threat of eviction. The farm-hand, aided by supernatural forces, completes the task, but the lady's wrath leads to her being summoned by a mysterious gentleman in black—implied to be the devil—who arrives in a black coach. Despite her pleas for mercy, she is given only three minutes to prepare for departure. She requests her chaplain, chamber-maid, and valet to accompany her, a request that is granted. Upon arrival at a splendid castle, she undergoes a series of torments before disappearing in a cloud of smoke and flame, a punishment for her cruelty. The servants are allowed to leave but are warned not to look back. Curiosity gets the better of the chamber-maid, resulting in them being lost in a wild forest for three years before finding their way back to Pintorp. The tale serves as a grim reminder of the consequences of malevolence and the inevitability of retribution.",farm hand,victim,lady of pintorp,cruelty and retribution,1,Cruelty and injustice will ultimately be met with punishment and retribution,Kindness and justice,Cruelty and exploitation
662,988,"In a poet's room, an inkstand and a pen engage in a debate about their roles in the creation of poetry, each claiming credit for the works produced by the poet. The inkstand boasts about the endless possibilities it contains, while the pen insists it is the one that brings these possibilities to life on paper. Their argument is interrupted when the poet returns home, inspired by a violin performance he attended, and writes a parable titled “The Master and the Instruments.” This parable highlights the folly of instruments like the pen and inkstand (and by extension, humans) taking pride in their performances, as they are merely tools used by a higher power—the Almighty. The story concludes with the pen and inkstand feeling satisfied with their petty squabble, unaware of the poet's deeper understanding and acknowledgment that all honor is due to the Almighty, the true source of creativity and inspiration.",narrator,none,none,the role of instruments in the creative process,4,"True creativity and honor belong to the higher power that guides the instruments, not to the instruments themselves",Humility in recognizing one's role as an instrument of a higher power,Boasting about one's abilities as if they are the sole creator of their works
663,989,"In a fantastical tale, a maiden created by the Vilas from midsummer snow, brought to life by the wind, and adorned by nature's bounty, announces a race where the prize is her hand in marriage. Suitors from across the world, including a czar's son, gather to compete. Despite starting on foot, the maiden quickly outpaces the horse-mounted suitors with the aid of small wings. To thwart her pursuers, she conjures a dense wood and then a rapid stream, obstacles that only the czar's son overcomes by invoking her name thrice in the name of God. As he finally captures her and attempts to take her home, she mysteriously vanishes when they reach the highest point of their journey, leaving the tale with an enigmatic conclusion.",maiden,hero,none,race for marriage,3,"Even with determination and the invocation of higher powers, some pursuits may ultimately prove elusive and beyond one's grasp",Perseverance,Underestimating challenges
664,990,"One bright sunny morning, while quails were grinding corn and singing, Mr. Fox approached them with the intention of joining their activity in hopes of finding a meal. Unable to find corn, he returned with cedar berries, only to trip over branches the quails had mischievously placed in his path, spilling his berries. The quails, after laughing at his misfortune, agreed to help him gather the berries in exchange for a share. After grinding the berries and sharing corn cakes, the quails suggested flying to a lake for a drink, but Mr. Fox couldn't fly. Sympathetically, the quails lent him feathers to make wings, which he clumsily used to reach the lake. However, after their drink, the quails reclaimed their feathers and pushed Mr. Fox down the mountain, causing him to break his leg and limp for the rest of his life, deterring him from ever trying to catch another quail again.",mr fox,"victim, villain",quails,deception and retribution,2,Deceit and malicious intentions can lead to one's own downfall and suffering,Kindness and honesty,Deception
665,992,"In a timeless, verdant land, a farmer and his large family lived in isolation and contentment on an island, their lives intertwined with the cycles of nature and their sustenance derived from their crops. Their tranquility was shattered by a devastating storm, believed to be the wrath of the water-god, which destroyed their livelihood and plunged them into despair. In a desperate quest for sustenance, the farmer encountered a fearsome demon who offered him a magical stone with the power to make him invisible, in exchange for his family's servitude after five years. Utilizing the stone's magic, the farmer ventured into the outside world, engaging in acts of theft in a city, including a daring bank robbery, to provide for his family. As the deadline approached, the farmer confronted the demon, ultimately defeating him with the stone's power and a green branch. The family's peace and prosperity were restored, and they continued to live happily, free from the demon's threat.",farmer,hero,demon,survival and moral compromise,4,Resourcefulness and courage can overcome adversity and break free from seemingly impossible binds,Resourcefulness and courage,Making desperate deals with dangerous entities
666,993,"A little brother and sister, while playing by a well, accidentally fell into it and were captured by a water-nix who lived below. The nix forced them into hard labor; the girl had to spin dirty flax and fetch water with a bucket that had a hole, while the boy was tasked with cutting down a tree using a blunt axe. Their only food was stone-hard dumplings. Eventually, seizing an opportunity when the nix was at church one Sunday, the children escaped. The nix pursued them upon her return, but the children cleverly threw obstacles in her path—a brush that turned into a hill of bristles, a comb that became a hill of teeth, and a looking-glass that formed a slippery hill of mirrors. Unable to cross the mirror hill, the nix went to fetch her axe to cut through it, but by the time she returned and managed to do so, the children had already escaped far away, forcing the nix to return to her well.",brother and sister,victim,water nix,escape from captivity,2,Resourcefulness and perseverance can help one overcome difficult and oppressive situations,Resourcefulness and perseverance,Captivity and coercion
667,994,"A mother, deeply grieving over the loss of her beloved seven-year-old son, finds no comfort even after his burial, as her ceaseless weeping prompts the boy's spirit to visit her. Appearing at places he frequented in life and manifesting at her bedside in his burial shroud, he pleads with her to cease her tears, as they prevent his shroud from drying and keep him from resting peacefully in his grave. Alarmed by her child's requests and realizing the impact of her sorrow, the mother resolves to entrust her grief to God, embracing it with quiet patience. This change allows her son's spirit to find the tranquility it seeks, ceasing its visits, and finally resting undisturbed in his earthly bed.",mother,victim,none,grief and healing,2,Accepting and entrusting one's grief to a higher power can bring peace to both the living and the departed,Accepting and letting go of grief,Endless mourning
668,996,"Dinewan and his two wives, the Wahn, were sheltering from the rain in a bark humpy they had constructed. Dinewan mischievously knocked down pieces of the shelter, forcing his wives to repeatedly go outside to repair it, all the while finding amusement in their discomfort. Eventually, his wives grew suspicious and caught him in the act. In retaliation, they decided to teach him a lesson for his cruelty. They tricked Dinewan by pretending to repair the shelter, but instead, they threw hot coals over him, causing him severe pain and forcing him to flee into the rain. The wives, having turned the tables on Dinewan, remained inside, laughing at his misfortune.",dinewan,villain,wahn,retribution,2,Deceit and cruelty towards others can lead to retribution and personal suffering,Treating others with respect,Deception
669,997,"In the story, Pedro Moreno, known as El Macho, is a multifaceted barber living near the cathedral of Compostella, Spain, who is also a skilled guitarist and soothsayer. His life takes an unexpected turn when the archbishop requests his help with a miraculous occurrence: the wooden image of St. James in the cathedral has begun growing a beard, which is problematic as knights of the time did not wear beards. El Macho suggests replacing the bearded St. James with an identical, beardless image, to which the archbishop reluctantly agrees. After commissioning a sculptor friend to create the new image, El Macho swaps the statues under the cover of night. The switch satisfies the public, and the new St. James continues to perform miracles, maintaining the church's reputation and income. However, the original bearded St. James, locked in a box by El Macho, eventually makes a dramatic escape during his annual procession, causing a commotion. The archbishop and El Macho manage to shave and reinstall the original St. James, keeping the entire ordeal a secret from the public. As a result of his vow, El Macho presents the new statue to a parish church in Cordova, marries the archbishop's niece, retires, and passes away shortly after. The story humorously explores themes of faith, tradition, and the lengths to which individuals will go to preserve appearances and beliefs.",pedro moreno,hero,none,faith and deception,4,"Faith and belief in the community can sometimes overshadow the truth, leading to creative solutions to maintain tradition and social harmony",Innovative problem-solving,Deception for personal gain
670,999,"A man who had been working for an abbot in a foreign land decided to return to his native country and his wife. Before leaving, the abbot offered him a choice between three hundred ounces of silver or three pieces of advice. The man chose the advice, which was to stick to the old roads, see much and say little, and to think before acting. He also received a loaf of bread to be broken when truly happy. On his journey home, he avoided joining travelers on a new path, which saved him from robbers; he refrained from questioning an innkeeper about being served human flesh, thus saving his life; and upon finding another man with his wife at home, he held back from acting rashly, discovering the man was actually his son, whom he had not recognized. In his joy, he broke the loaf of bread given by the abbot, finding the three hundred ounces inside, thus receiving both the wisdom and the wealth offered by the abbot.",good man,hero,none,wisdom and its rewards,5,"Wisdom and prudence in one's actions can lead to safety, happiness, and unexpected rewards",Prudence,Impulsiveness
671,1000,"In a tale of bravery and cunning, a boy named Pu-nia outwits Kai-ale-ale, the King of the Sharks, and his ten shark minions to provide for his mother after his father's death. Living on an island, Pu-nia and his mother craved lobsters from a cave guarded by the sharks, who devoured anyone daring to approach. Pu-nia devised a plan to distract the sharks by throwing a stone and pretending to dive in a different spot, allowing him to safely collect lobsters. Each time, he tricked the sharks into killing one of their own by falsely accusing them of aiding him. This strategy continued until only Kai-ale-ale remained. Pu-nia then daringly allowed himself to be swallowed whole by Kai-ale-ale, only to trap the shark's jaws open with wood pieces and light a fire inside him. The shark, in agony, beached itself where Pu-nia escaped, and the villagers killed the shark. Pu-nia's cleverness rid the island of the shark threat, ensuring he and his mother, as well as their community, could safely harvest lobsters henceforth.",pu nia,hero,kai ale ale,bravery and cunning against danger,4,Wit and courage can overcome even the most formidable obstacles,Ingenuity,Deception
672,1004,"Anasto, the most beautiful yet unhappiest maiden in the village of Pyrgos, was shunned by the other maidens out of jealousy. She lived in poverty with her elderly uncle and was loved deeply by Tassos, a shepherd and the village's finest singer, who sang only for her. On May Day, while the other maidens participated in the traditional rites, Anasto, lacking a silver coin, could not partake and wept by the stream, causing the water, flowers, and birds to lament her sorrow. Her tears attracted fairies who, upon discovering her amethyst amulet, left her in a high cave. Tassos, unable to find Anasto among the returning maidens, cursed the village, prompting a storm. The sorceress Malamo convinced the villagers to stone the stream to appease the fairies and led a search for Anasto. They found her in the cave, and upon Tassos's embrace, she revived. The village celebrated her return with a three-day festival, marking a joyful end to her isolation and suffering.",anasto,victim,none,jealousy and isolation,2,"Kindness and love can overcome jealousy, isolation, and adversity",Compassion and perseverance,Jealousy
673,1005,"In a forest, a Bulbul bird sought green pepper for his mate, leading him to a Jinn's secluded garden. His mate ate the pepper and laid an emerald-green egg, which hatched into Princess Pepperina under the Jinn's care. Years later, a King discovered and fell in love with Pepperina, marrying her with the Jinn's blessing. However, palace women, envious of Pepperina, framed her for infanticide, leading to her exile and death. Upon her death, she transformed into a landscape within the garden walls. The King, learning the truth from transformed sheldrakes—representations of Pepperina's soul—revived her by sacrificing the birds. Choosing to live within the garden's safety, the Jinn built them a palace, ensuring their happiness away from external jealousy and harm.",princess pepperina,victim,jealous women,jealousy and redemption,3,"Love and truth can overcome deceit and jealousy, leading to redemption and happiness",Overcoming jealousy with love and truth,Harboring jealousy and deceit
674,1007,"A cobbler, tired of his profession, decides to seek his fortune and claims to be a great warrior after killing and wounding flies with a shoe. The king, intrigued by his boast, tasks him with killing two magicians on a mountain, promising his daughter's hand in marriage as a reward. The cobbler encounters the magicians, who are disguised as innkeepers, and narrowly escapes their attempts to kill him with a falling stone trap. Seizing an opportunity, he kills both magicians with a sickle while they are distracted. Upon returning to the court and presenting proof of his deed, the cobbler marries the princess. However, his habit of moving his hands as if cobbling in his sleep disturbs his wife. The king, seeking to resolve this issue, gives the cobbler a substantial amount of money and sends him away.",cobbler,hero,magicians,seeking fortune and overcoming adversaries,4,Ingenuity and courage can lead to unexpected success and reward,Ingenuity and bravery,Underestimating others
675,1008,"Once upon a time, a mother named her son Truthful Joseph for his unwavering honesty. When the king learned of Joseph's reputation, he employed him to tend his cows. Praised by the king for his honesty, Joseph became the target of jealous courtiers who plotted to tarnish his integrity by convincing him to kill the king's bull. Struggling with guilt, Joseph decided to confess the truth to the king rather than lie about the bull's fate. Upon hearing Joseph's confession, the king commended him for his honesty, demonstrating to the courtiers that Joseph remained truthful under pressure. Consequently, Joseph retained his position and favor with the king, while the courtiers' scheme to discredit him failed.",joseph,hero,courtiers,honesty,5,Honesty and integrity triumph over deceit and manipulation,Honesty,Deceit
676,1010,"In ancient times, the Tinguian people lacked knowledge of farming and medicine, leading to hunger and illness. Observing their plight, Kadaklan, the Great Spirit, sent his servant Kaboniyan to Earth to aid them. Kaboniyan, through the spirit entering Dayapan, a woman suffering from a seven-year illness, introduced the cultivation of rice and sugar-cane, along with the construction of granaries and sugar-presses. Following Kaboniyan's instructions, Dayapan planted the crops, which thrived, and initiated the Sayung ceremony for healing, guided by the spirit. Although the ceremony was marred by an incident where a dog ate a cock meant for the ritual, leading to the prophecy that not all sick would recover, Dayapan was healed. She shared her newfound knowledge with her community, improving their lives significantly, though the ceremony's success varied, healing some and failing others.",dayapan,hero,none,agricultural and medicinal knowledge,4,Knowledge and guidance from higher powers can transform suffering into prosperity and well-being for a community,Sharing knowledge,None
677,1011,"On a moonlit Saturday night in the Village of Liver-and-Onions, after a refreshing rain, Dippy the Wisp and Slip Me Liz, two adventurous pony girls, encounter the Potato Face Blind Man at the post office corner. They share tales of their bees' extraordinary journeys to whimsical realms. Egypt, a bee with inkwells in her ears, visits the palace of the Cracked Heads, where goats consume clocks and baby alligators ingest baby clocks, resulting in musical digestion. Jesse James, a bee with a postage stamp on his nose, recounts his visit to the King of the Paper Sacks, whose palace is unexpectedly inhabited by pink and purple peanuts engaged in domestic tasks. Spanish Onions, a bee with a pearl-colored handkerchief, tells of her frightening encounter in the City of the Empty Hats, a place where everything, including herself, felt vacantly hollow. The Potato Face Blind Man, intrigued yet overwhelmed by their stories, suggests returning the bees to their bag, hinting at the overwhelming nature of their secrets. The girls, acknowledging the magical evening, continue their journey, leaving behind a trail of song and the enchantment of their experiences.",dippy the wisp,hero,none,imagination and storytelling,5,Imagination and storytelling have the power to transform ordinary moments into magical experiences,Embracing imagination,None
678,1012,"The story revolves around a Snow Man who experiences the world with wonder and curiosity, despite his stationary existence. He is fascinated by the sun and the moon, mistaking them for the same entity, and longs to move and experience life beyond his fixed spot. The Snow Man develops an infatuation with a stove he sees through a window, imagining it as a beautiful being he desires to be close to, despite not understanding the concept of warmth or the consequences it holds for him. An old Yard Dog, who has experienced much and lost his youthful comforts due to his behavior, provides insights into life, change, and the inevitable end that comes with the changing seasons. The dog tries to explain the realities of life and change to the Snow Man, who is unable to grasp these concepts fully due to his brief existence and limited experiences. As the weather warms, the Snow Man inevitably melts away, leaving behind only the broomstick that formed his core, symbolizing the transient nature of life and the inevitability of change and loss. The story ends with the arrival of spring, and the Snow Man, along with his longing and desires, are forgotten, highlighting the cycle of life and the fleeting nature of existence.",snow man,victim,none,the transience of life and the inevitability of change,2,All things are transient and that longing for what we cannot have can lead to our own dissolution,Accepting change,Resisting change
679,1013,"Ignoring old Peggy's warning to stay indoors on Hallow-e'en due to the dangerous winds and the presence of witches and goblins, a group of young people, led by the eldest who wanted to visit his love interest, and others with their own reasons, decided to venture outside. Despite the initially clear weather, they encountered a little black pony, which they assumed was Valentine's and decided to ride to a pond. The pony, however, carried them towards the sea, ignoring their attempts to steer it away. As the pony entered the sea, the children realized too late that it was bewitched, regretting not heeding Peggy's advice. They were all drowned as the pony advanced further into the waves. The next morning, Peggy searched for her grandchildren to no avail, only to encounter the little black pony, which neighed and galloped past her, disappearing quickly, leaving her overwhelmed with grief for the loss of the children.",richard,victim,none,disobedience and its consequences,1,"Heed warnings and advice, especially from those wiser or more experienced, to avoid dire consequences",Listening to wise advice,Ignoring warnings
680,1015,"The story tells of a Tortoise who, as punishment from Jupiter for his laziness and refusal to attend Jupiter's wedding, is condemned to carry his house on his back, limiting his mobility and ability to explore the world. Feeling sad and discontented after observing the freedom of other animals, the Tortoise encounters a pair of Ducks who offer to help him see the world by carrying him in the air, holding onto a stick with his teeth. Warned to remain silent during the flight, the Tortoise, overcome by vanity, attempts to speak when a Crow expresses astonishment at the sight, leading him to lose his grip on the stick and fall to his death on a rock below. The moral underscores how foolish curiosity and vanity can lead to one's downfall.",tortoise,victim,none,foolish vanity and curiosity,1,Foolish curiosity and vanity often lead to misfortune,Humility and caution,Vanity and foolishness
681,1016,"A young woman living alone in the woods with her dog discovers fresh meat at her door each morning, eventually finding out it's provided by a handsome young man who becomes her husband and father to her son. When her husband disappears, and her son is later kidnapped by the old Toad-Woman, the mother embarks on a long quest to find him, aided by old women who give her magical shoes and advice. She builds a lodge and attracts her now-grown son and his dog with grape juice that reveals the truth. The son, initially skeptical of his real mother's story, is convinced when he sees his wampum cradle and the marks left by his dog brother. To escape the Toad-Woman, they trick her into a futile quest for a fat bear, kill her evil spirit children, and use snakeberry vines to entangle her forever, ensuring she never disturbs their happiness again.",young woman,"hero, victim",old toad woman,rescue and reunion,4,Perseverance and courage in the face of adversity can lead to the triumph of good over evil and reunite loved ones,Perseverance in the face of adversity,Kidnapping and deceit
682,1017,"In a world where a devastating plague strikes both wild and tame animals, causing widespread sickness but not universal death, the animal kingdom is thrown into despair. With the natural order disrupted, predators and prey alike lose their will to survive, leading to a cessation of hunting and a general malaise. The lion, as king, calls a council and suggests that the plague might be a divine punishment for their sins. He proposes that they should sacrifice the guiltiest among them to appease the wrath of Heaven, hoping to restore health and balance. The lion openly confesses his own sins, admitting to gluttony and the unnecessary killing of both sheep and sometimes shepherds, and offers himself as the sacrifice if needed. He emphasizes the importance of self-examination and confession for all, advocating for justice and equity in determining who should be sacrificed, showcasing humility uncharacteristic of a king.",lion,hero,none,responsibility and sacrifice,3,Acknowledging one's faults and being willing to make sacrifices for the greater good can lead to redemption and healing,Acknowledging guilt and making sacrifices,Ignoring responsibility
683,1020,"The story recounts the adventures of Manoel Littlebean, a boy no larger than a bean, who inadvertently causes his mother great anxiety by constantly getting lost, even to the point of being swallowed by a goat. This leads to a series of unexpected events where Manoel, still inside the goat, causes it such distress that his father decides to kill the goat. Unbeknownst to them, Manoel is then swallowed by a wolf that later consumes the goat. Inside the wolf, Manoel's movements cause the wolf discomfort, leading it to a robbers' den, where the frightened robbers flee, leaving behind their gold. Manoel manages to make the wolf expel him, and he returns home, guiding his parents to the abandoned treasure. The story concludes with Manoel being celebrated as a clever and joyous son, bringing wealth and happiness to his family, and being treated with respect despite his small size.",manoel littlebean,hero,none,adventure and resourcefulness,5,Size does not determine one's ability to make a significant positive impact on their family and overcome challenges with cleverness and determination,Resourcefulness,Underestimating others
684,1021,"In this story, a discontented and grumpy man criticizes his wife's household management, leading them to swap roles for a day. The wife goes out to mow with the mowers, while the husband stays home to tend to the chores. However, his attempt at multitasking disastrously fails. He tries to churn butter but gets distracted by a need for ale, which leads to a series of mishaps including a spilled churn, a kicked pig, a drained ale barrel, and a cow disastrously hoisted onto the roof to graze, which he then accidentally drags into a precarious position when he ties it to himself while trying to cook porridge. His efforts culminate in him being stuck in the chimney when the cow falls off the roof, and his wife finds him upside down in a pot of porridge upon her return. The story humorously illustrates the chaos of unfamiliar tasks and the pitfalls of underestimating one's daily duties.",husband,victim,none,role reversal,2,"Appreciate the roles and responsibilities of others, as underestimating them can lead to chaos and disaster",Appreciating others' work,Underestimating others' roles
685,1022,"In a tale set near Nambé, an old Lady Fox and an old Hen, both with six children, feigned friendship despite the fox's jealousy and carnivorous intentions towards the hen. The hen, in a display of both generosity and magic, invited the fox family to a dinner party, serving her own children as the meal, only to later resurrect them through a ritual involving a magic rod, piñon nuts, and sacred corn meal by the river. Inspired but misguided, the fox attempted to reciprocate the gesture, tragically killing her offspring without the means to revive them. Her attempt to mimic the hen's magic failed miserably, resulting in physical harm to herself and the ultimate loss of her children, claws, and teeth, after a failed attempt to attack the hen and her chicks, who managed to escape unharmed.",mrs hen,hero,lady fox,magic and consequences of envy,2,Envy and imitation without understanding can lead to self-destruction and loss,Understanding and originality,Envy and imitation without understanding
686,1023,"In the village of Altos Ares on the island of Terceira, a beautiful maiden named Perola, meaning Pearl, was enchanted by a water fairy and vanished into a cistern, leading to her disappearance. Her community, distraught, sought the advice of a wise woman from Biscoitos, who revealed that Perola was kept in an enchanted palace beneath Lake Ginjal. Motivated by this revelation, the village youths, alongside prominent figures of Terceira, embarked on a quest to find and rescue Perola. Their efforts, combined with the devout prayers of Perola's mother, culminated on St. John’s Day when they discovered the lake and planned their approach. Miraculously, a voice promised Perola's mother that her daughter would return on the day of St. Peter, free from enchantment. True to the prophecy, Perola was returned to her village, as beautiful as ever, in a boat of ivory drawn by a snow-white swan, breaking the spell and reuniting her with her community. This tale underscores the power of faith, perseverance, and unity in overcoming enchantments and restoring harmony.",perola,victim,none,enchantment,4,"Faith, perseverance, and community effort can overcome even the most enchanting obstacles to reunite and restore harmony",Perseverance and unity,Enchanting others against their will
